#id,username,repository,committers,authors,age_days,commits,files,main_lang,number_langs,bytes_main_lang,bytes_total,major_contrib,number_contribs,commits_major_contrib,commits_total,main_uml_author,number_uml_authors,changes_by_main_uml_author,total_uml_changes
35,feliperuppel,NewItens,7,7,1297,251,267,None,None,None,None,382,7,89,251,382,1,1,1
36,ateston,user-manager,5,5,1288,29,43,None,None,None,None,392,5,9,29,389,1,1,1
37,coryb,gearbox,7,7,1475,67,877,None,None,None,None,397,7,25,67,394,1,1,1
38,JSansalone,GZMigration,3,3,1391,58,1107,None,None,None,None,401,3,54,58,401,1,2,2
39,mrlukeparry,freecad,23,24,1639,1398,5261,None,None,None,None,228,24,302,1398,213,1,2,2
40,CafeGIS,gvSIG2_0,1,1,1308,52,12389,None,None,None,None,405,1,52,52,405,1,12,12
41,ngzhian,csit_hadoop,2,2,1310,6,74,None,None,None,None,406,2,5,6,406,1,1,1
42,wissne,maplePrj,2,2,1646,24,3715,None,None,None,None,408,2,22,24,408,1,4,4
43,railcoach,railcoach,32,30,2069,573,640,None,None,None,None,410,30,154,573,412,2,1,2
44,Torrence,AuctionExp,1,1,1326,4,1001,None,None,None,None,442,1,4,4,442,1,2,2
45,kanzure,nanoengineer,23,26,4296,11714,11378,None,None,None,None,447,26,3971,11714,448,2,5,6
46,evolya,corpsecurity,2,2,1308,8,368,None,None,None,None,470,2,5,8,470,1,4,4
47,joaolevada,glassbeer,3,3,1439,131,1631,None,None,None,None,472,3,88,131,472,2,44,55
48,cristianrosu,FoodCourt,2,2,1309,3,148,None,None,None,None,475,2,2,3,475,1,1,1
49,yafraorg,yafra,11,11,1300,296,6243,None,None,None,None,478,11,168,296,476,1,2,2
50,artwebs,artwebsandroid,8,8,1289,239,1047,None,None,None,None,489,8,153,239,489,1,1,1
51,andrea-colleoni,BasketStats,2,2,1330,6,249,None,None,None,None,495,2,3,6,496,1,1,1
52,gxa,atlas,25,25,1329,6184,22968,None,None,None,None,509,25,1073,6184,513,2,1,2
53,xiangism,mineTerminator,1,1,1314,2,33,None,None,None,None,522,1,2,2,522,1,1,1
54,artyrian,SystemRegisterUML,1,1,1296,25,29,None,None,None,None,523,1,25,25,523,1,18,18
55,iocast,featurefilter,1,1,1400,11,60,None,None,None,None,524,1,11,11,524,1,1,1
56,gre,University-nostalgia,9,9,2239,94,218,None,None,None,None,527,9,41,94,527,1,1,1
57,iocast,featureserver,6,6,1400,260,879,None,None,None,None,524,6,213,260,524,1,4,4
58,byon,myrrh,2,2,2061,199,315,None,None,None,None,540,2,187,199,539,1,1,1
59,ahhess,ah,6,6,2272,143,1050,None,None,None,None,541,6,75,143,541,1,1,1
60,alisomer,essexbooking,10,10,1531,79,1035,None,None,None,None,548,10,37,79,548,1,3,3
61,kaige,Rena,3,3,1295,85,1958,None,None,None,None,557,3,65,85,557,1,4,4
62,lawrancej,CompilerKit,21,21,1418,453,165,None,None,None,None,560,21,285,453,560,3,3,6
63,angel46,project-munchkin,2,2,1450,23,81,None,None,None,None,581,2,13,23,582,2,8,13
64,jscott0918,KillerApp,9,9,1307,169,196,None,None,None,None,583,9,99,169,583,3,5,9
65,gsingh93,Learn-Kirtan,2,2,1479,223,1865,None,None,None,None,592,2,222,223,592,2,1,2
66,ging,isabel,6,7,1656,51,7769,None,None,None,None,594,7,39,51,594,1,2,2
67,ngocnv371,cell-defense,1,1,1284,4,4,None,None,None,None,601,1,4,4,601,1,3,3
68,ezequieljuliano,Argos,2,2,1324,70,300,None,None,None,None,602,2,67,70,602,1,1,1
69,npetalid,Promasi-V2,8,8,2242,368,56065,None,None,None,None,604,8,247,368,609,1,2,2
70,mattloidolt,CS414,4,4,1308,144,398,None,None,None,None,613,4,66,144,,0,,0
71,kelidas,scratch,3,3,1466,181,1209,None,None,None,None,616,3,118,181,617,1,1,1
72,bananu7,Engine,3,3,1290,49,1481,None,None,None,None,620,3,40,49,619,1,5,5
73,izontm,SML,2,2,1399,14,610,None,None,None,None,623,2,10,14,623,1,4,4
74,pcego,SistemaVendas,3,3,1479,15,32,None,None,None,None,624,3,13,15,624,1,2,2
75,mloukianov,SLK_2_4,1,1,1291,3,1570,None,None,None,None,627,1,3,3,627,1,1,1
76,roddevu,QXmlMoodle,5,5,1476,28,328,None,None,None,None,631,5,13,28,629,1,2,2
77,aedansilver,wowlikearcemuold,2,2,1333,3,1970,None,None,None,None,633,2,2,3,633,1,2,2
78,HALTGames,ICT207Game,4,4,1288,309,1299,None,None,None,None,635,4,118,309,635,2,7,8
79,pennstatephil,StackPointer,7,7,1311,178,205,None,None,None,None,641,7,57,178,642,2,4,7
80,hopbit,java-sandbox,3,3,1466,301,408,None,None,None,None,646,3,146,301,646,1,1,1
81,fjorgemota,PowerMusic-SENAI,7,7,1456,335,382,None,None,None,None,649,7,188,335,649,1,1,1
82,nolith,CaptureMJPEG,4,4,2957,69,60,None,None,None,None,656,4,35,69,656,4,1,4
83,andresrosso,proyectogrado,9,9,1523,42,861,None,None,None,None,664,9,17,42,664,3,3,6
84,soundcloud,acra,5,5,1839,114,119,None,None,None,None,670,5,68,114,669,2,1,2
85,Stefanqn,Thesis,2,2,1322,57,122,None,None,None,None,675,2,56,57,675,1,15,15
86,securitybreach,Cerberus,2,2,1658,167,4951,None,None,None,None,676,2,124,167,676,1,1,1
87,redjetfire,GUMAS,3,3,1292,8,3253,None,None,None,None,678,3,4,8,678,1,1,1
88,yuanqixun,activiti-modeler,2,2,1777,55,6769,None,None,None,None,681,2,44,55,681,1,1,1
89,dudulacerda,LTP2,1,1,1306,5,99,None,None,None,None,683,1,5,5,683,1,2,2
