#id,username,repository,committers,authors,age_days,commits,files,main_lang,number_langs,bytes_main_lang,bytes_total,major_contrib,number_contribs,commits_major_contrib,commits_total,main_uml_author,number_uml_authors,changes_by_main_uml_author,total_uml_changes
778,ProjektAugustiner,yamoda-wiki,3,3,1482,12,46,None,None,None,None,5759,3,6,12,5760,1,1,1
779,bradmccormack,UniversityNMisc,4,4,1371,15,366,None,None,None,None,5762,4,12,15,5763,1,1,1
780,NAMD,pypln.org,3,3,1320,14,367,None,None,None,None,5766,3,8,14,5767,1,40,40
781,Matthimatiker,MolComponents,1,1,1392,1160,307,None,None,None,None,5769,1,1160,1160,,0,,0
782,kyleivey,CS372-Transit-Application,6,6,1702,110,1108,None,None,None,None,5773,6,44,110,5771,2,1,2
783,glanchow,consmaster,1,1,1303,30,85,None,None,None,None,5776,1,30,30,5776,1,2,2
784,danielschuster,mobilis_deprecated,2,2,1309,2,2105,None,None,None,None,5777,2,1,2,5778,1,1,1
785,alexleutgoeb,WellDone,7,7,2351,532,548,None,None,None,None,5779,7,279,532,5783,1,1,1
786,insanehong,incorrectnote,1,1,933,5,381,None,None,None,None,5786,1,5,5,5786,1,1,1
787,dextervip,rpv,5,5,1456,511,1431,None,None,None,None,5789,5,237,511,5787,1,2,2
788,posaunehm,Codersation,14,14,1300,481,693,None,None,None,None,5798,14,108,481,5804,1,1,1
789,ieor140-team4,Project2-good,5,5,1308,56,223,None,None,None,None,5807,5,33,56,5808,2,1,2
790,MoonGames,collab-panel,8,8,1381,59,91,None,None,None,None,5815,8,42,59,5815,1,1,1
791,zr2d2,Blue-Jay,5,5,1882,214,816,None,None,None,None,5820,5,140,214,5822,1,2,2
792,frolich,CA,2,2,1302,2,79,None,None,None,None,5824,2,1,2,5825,1,2,2
793,deckeraa,deckeraa.github.com,1,1,1309,24,171,None,None,None,None,5826,1,24,24,5826,1,1,1
794,andresrosso,proyectogrado-docs,10,10,1462,108,451,None,None,None,None,5832,10,41,108,5832,3,1,3
795,caciula,c301,2,2,1282,4,130,None,None,None,None,5837,2,2,4,5837,1,1,1
796,JanUlrich,PGP-Chat,4,4,1302,24,187,None,None,None,None,5841,4,11,24,5842,1,1,1
797,juliat,juliat.github.com,3,3,1229,92,1287,None,None,None,None,5843,3,47,92,5843,1,1,1
798,williamrjribeiro,cordetector,1,1,1311,3,32,None,None,None,None,5846,1,3,3,5846,1,2,2
799,Rofflarn,Gym-app,10,10,1303,606,3069,None,None,None,None,5853,10,116,606,5851,1,1,1
800,abjugard,DAT255-EpiClock,5,5,1301,413,437,None,None,None,None,5860,5,209,413,5860,1,1,1
801,yehohanan7,tikvah,3,3,1308,84,20197,None,None,None,None,5864,3,69,84,5864,1,8,8
802,ianobraczka,EasyPlay,3,3,1392,8,18,None,None,None,None,5865,3,4,8,5865,2,1,2
803,FlaShG,SEP12,41,41,1303,1403,643,None,None,None,None,5871,41,334,1403,5869,1,1,1
804,mkarppan,OhHa,6,6,1309,48,120,None,None,None,None,5915,6,40,48,5915,1,3,3
805,pinkdawn,image-getter,2,2,1319,11,59,None,None,None,None,5916,2,10,11,5916,1,1,1
