"#uml_file, file_path, file_url, file_id, repo_id, repo_user, repo_name, author, commiter, modifications, repo_age, file_age, commits_before, commits_after"
architecture.jpg,images/architecture.jpg,https://raw.githubusercontent.com/gfranko/gfranko.github.com/master/images/architecture.jpg,19745,11,gfranko,gfranko.github.com,184,184,0,2360,884,615,35
uml.png,docs/uml.png,https://raw.githubusercontent.com/hfutonline/xipang/master/docs/uml.png,20275,12,hfutonline,xipang,185,185,0,1480,1479,3,85
Class Diagram.png,uml/Class Diagram.png,https://raw.githubusercontent.com/xardael/cvWebGen/master/uml/Class Diagram.png,20680,13,xardael,cvWebGen,190,190,1,1452,1431,19,34
architecture.png,assets/img/architecture.png,https://raw.githubusercontent.com/snowplow/snowplow.github.com/master/assets/img/architecture.png,22050,14,snowplow,snowplow.github.com,201,201,0,1395,780,370,2414
architecture-simplified.png,planning/architecture-simplified.png,https://raw.githubusercontent.com/mozilla/webrtc/master/planning/architecture-simplified.png,23327,15,mozilla,webrtc,236,236,0,1456,1095,119,11
thread-diagram.png,planning/thread-diagram.png,https://raw.githubusercontent.com/mozilla/webrtc/master/planning/thread-diagram.png,23289,15,mozilla,webrtc,236,236,0,1456,1416,31,99
ClassDiagram.svg,ClassDiagram.svg,https://raw.githubusercontent.com/timvdalen/OGO-2.3/master/ClassDiagram.svg,24374,16,timvdalen,OGO-2.3,240,240,0,1442,1412,279,846
ClassDiagram.svg,documentation/Class-diagram/ClassDiagram.svg,https://raw.githubusercontent.com/timvdalen/OGO-2.3/master/documentation/Class-diagram/ClassDiagram.svg,24285,16,timvdalen,OGO-2.3,240,240,6,1442,1434,48,1077
class_diagram.png,doc/class_diagram.png,https://raw.githubusercontent.com/ggsato/SimpleCappCore/master/doc/class_diagram.png,24466,17,ggsato,SimpleCappCore,250,250,1,1384,1384,2,48
Class_Diagram__Component_View__scs.georesults.om__alap__alap.png,docs/model/rc/Class_Diagram__Component_View__scs.georesults.om__alap__alap.png,https://raw.githubusercontent.com/sebcsaba/GeoResults/master/docs/model/rc/Class_Diagram__Component_View__scs.georesults.om__alap__alap.png,24841,18,sebcsaba,GeoResults,251,251,0,1628,1628,2,74
Class_Diagram__Component_View__scs.georesults.om__alap__alap.svg,docs/model/rc/Class_Diagram__Component_View__scs.georesults.om__alap__alap.svg,https://raw.githubusercontent.com/sebcsaba/GeoResults/master/docs/model/rc/Class_Diagram__Component_View__scs.georesults.om__alap__alap.svg,24842,18,sebcsaba,GeoResults,251,251,0,1628,1628,2,74
